,case_number,prompt,label_str,evaluation_seed,category_top1,index_top1,scores_top1,category_top2,index_top2,scores_top2,category_top3,index_top3,scores_top3,category_top4,index_top4,scores_top4,category_top5,index_top5,scores_top5,category_top6,index_top6,scores_top6,category_top7,index_top7,scores_top7,category_top8,index_top8,scores_top8,category_top9,index_top9,scores_top9,category_top10,index_top10,scores_top10
17,17,Image of Cassette Player,Cassette Player,5592,tape player,848,0.42015785,cassette player,482,0.21038198,CD player,485,0.0399168,cassette,481,0.016651126,radio,754,0.014167517,cash machine,480,0.009359887,Polaroid camera,732,0.0050524254,loudspeaker,632,0.004671523,analog clock,409,0.0033983358,digital clock,530,0.0029372892
18,18,Image of Cassette Player,Cassette Player,4528,CD player,485,0.38777485,cassette player,482,0.057554428,radio,754,0.05403047,tape player,848,0.047611702,cassette,481,0.011969887,home theater,598,0.0070122597,loudspeaker,632,0.004370648,entertainment center,548,0.0042964206,television,851,0.0030493655,printer,742,0.0020716302
19,19,Image of Cassette Player,Cassette Player,1385,refrigerator,760,0.059923984,dishwasher,534,0.047044408,fire screen,556,0.037691724,envelope,549,0.029457605,shoji,789,0.019516753,crossword puzzle,918,0.016128398,book jacket,921,0.016064703,lighter,626,0.014295816,desktop computer,527,0.011717159,sliding door,799,0.011466442
20,20,Image of Cassette Player,Cassette Player,1229,CD player,485,0.15699771,tape player,848,0.1091068,cassette player,482,0.087354094,modem,662,0.027275944,radio,754,0.02279549,digital clock,530,0.011573358,cassette,481,0.011342079,switch,844,0.007473593,remote control,761,0.0061940937,loudspeaker,632,0.005816436
21,21,Image of Cassette Player,Cassette Player,2988,cassette,481,0.3455913,tape player,848,0.14201717,cassette player,482,0.110632725,CD player,485,0.0036965988,loudspeaker,632,0.0024375494,switch,844,0.0024126642,projector,745,0.0023658762,reflex camera,759,0.0020625985,Polaroid camera,732,0.001989467,iPod,605,0.0019336134
22,22,Image of Cassette Player,Cassette Player,9837,tape player,848,0.25509077,cassette player,482,0.18162154,CD player,485,0.046131957,cassette,481,0.04078985,printer,742,0.022706348,cash machine,480,0.015894279,radio,754,0.0141285565,hard disc,592,0.013774431,notebook,681,0.011613358,Polaroid camera,732,0.0073138103
23,23,Image of Cassette Player,Cassette Player,1245,tape player,848,0.22219998,cassette player,482,0.16456062,cassette,481,0.034733366,Polaroid camera,732,0.024508918,radio,754,0.019351268,switch,844,0.015750311,CD player,485,0.013430855,loudspeaker,632,0.01013547,digital clock,530,0.007970952,microwave,651,0.0059849457
24,24,Image of Cassette Player,Cassette Player,6897,CD player,485,0.16839965,radio,754,0.09411964,cassette player,482,0.09115747,tape player,848,0.08652593,cassette,481,0.028329648,home theater,598,0.016253786,loudspeaker,632,0.012511366,mailbox,637,0.0066444282,cash machine,480,0.0047818767,television,851,0.0042676744
25,25,Image of Cassette Player,Cassette Player,2952,tape player,848,0.09312898,CD player,485,0.07556369,cassette player,482,0.04713099,radio,754,0.04446712,switch,844,0.024231255,loudspeaker,632,0.017191982,cassette,481,0.010162717,analog clock,409,0.0099396845,iPod,605,0.0075745806,desktop computer,527,0.0062996857
26,26,Image of Cassette Player,Cassette Player,5071,cassette player,482,0.25445983,tape player,848,0.252904,cassette,481,0.057852242,radio,754,0.031581722,CD player,485,0.021257509,hand-held computer,590,0.003734089,iPod,605,0.0031280562,digital clock,530,0.002207883,scale,778,0.0020411138,loudspeaker,632,0.0020168945
27,27,Image of Cassette Player,Cassette Player,4469,cassette player,482,0.21708691,tape player,848,0.21561393,cassette,481,0.056078985,CD player,485,0.02705275,cash machine,480,0.015283974,radio,754,0.011704562,safe,771,0.003701635,desktop computer,527,0.0036126035,loudspeaker,632,0.0024963291,digital clock,530,0.0021494874
28,28,Image of Cassette Player,Cassette Player,3360,CD player,485,0.20180058,tape player,848,0.18826169,cassette player,482,0.109929055,radio,754,0.062263314,cassette,481,0.016717914,desktop computer,527,0.013776334,loudspeaker,632,0.009290994,hard disc,592,0.0029090752,analog clock,409,0.0028880655,modem,662,0.0021161945
29,29,Image of Cassette Player,Cassette Player,6974,CD player,485,0.19785105,radio,754,0.14083825,tape player,848,0.07765208,cassette player,482,0.06784908,home theater,598,0.06472427,loudspeaker,632,0.033002608,television,851,0.029299833,entertainment center,548,0.024617981,cassette,481,0.008152484,analog clock,409,0.004907691
30,30,Image of Cassette Player,Cassette Player,1547,cassette player,482,0.17109111,tape player,848,0.14985612,cassette,481,0.12878647,radio,754,0.061953217,CD player,485,0.040818818,Polaroid camera,732,0.0033565094,loudspeaker,632,0.0028072693,digital clock,530,0.0020713697,television,851,0.002006554,home theater,598,0.0019516366
31,31,Image of Cassette Player,Cassette Player,8395,tape player,848,0.12033912,Polaroid camera,732,0.10884846,CD player,485,0.068324015,radio,754,0.059417598,cassette player,482,0.040207237,loudspeaker,632,0.03009415,safe,771,0.021431359,cassette,481,0.01776436,scale,778,0.008954613,modem,662,0.00844009
32,32,Image of Cassette Player,Cassette Player,1800,guillotine,583,0.079415135,iPod,605,0.07568134,mailbox,637,0.041249253,ashcan,412,0.03026743,tape player,848,0.029955985,Polaroid camera,732,0.028840344,loudspeaker,632,0.027245194,switch,844,0.022813102,cash machine,480,0.020191077,cellular telephone,487,0.01876554
33,33,Image of Cassette Player,Cassette Player,9244,CD player,485,0.22587071,radio,754,0.14023978,tape player,848,0.10932555,cassette player,482,0.050057847,loudspeaker,632,0.011755078,cassette,481,0.009630886,desktop computer,527,0.0058699753,analog clock,409,0.0053720456,Polaroid camera,732,0.0033175142,safe,771,0.00298755
34,34,Image of Cassette Player,Cassette Player,8588,CD player,485,0.12760395,tape player,848,0.12585816,cassette player,482,0.09684937,radio,754,0.08370838,cassette,481,0.041003693,Polaroid camera,732,0.006233628,loudspeaker,632,0.004227138,desktop computer,527,0.0025515645,modem,662,0.002307988,projector,745,0.0021365746
35,35,Image of Cassette Player,Cassette Player,9801,tape player,848,0.12478579,cassette player,482,0.12051564,cassette,481,0.1124133,radio,754,0.092925124,CD player,485,0.08169062,iPod,605,0.009658464,rule,769,0.006120932,digital clock,530,0.0052378415,slide rule,798,0.004003426,printer,742,0.002851313
36,36,Image of Cassette Player,Cassette Player,3004,switch,844,0.1439181,tape player,848,0.08306915,remote control,761,0.05758212,loudspeaker,632,0.05467052,cassette player,482,0.05098458,CD player,485,0.04316263,radio,754,0.040468458,cellular telephone,487,0.03808119,dial telephone,528,0.010037564,modem,662,0.009444333
37,37,Image of Cassette Player,Cassette Player,3060,tape player,848,0.26421487,cassette player,482,0.0932308,CD player,485,0.086682476,radio,754,0.02874385,desktop computer,527,0.02427405,cash machine,480,0.011733713,cassette,481,0.010656201,loudspeaker,632,0.010457989,hard disc,592,0.007690263,computer keyboard,508,0.004865597
38,38,Image of Cassette Player,Cassette Player,9240,tape player,848,0.24549203,cassette player,482,0.17294453,CD player,485,0.049017932,radio,754,0.027579898,cassette,481,0.018365806,desktop computer,527,0.015941331,loudspeaker,632,0.01066374,television,851,0.009459724,web site,916,0.0067801396,packet,692,0.0061408416
39,39,Image of Cassette Player,Cassette Player,9657,CD player,485,0.12690452,radio,754,0.08848673,tape player,848,0.07337442,cassette player,482,0.057692673,oscilloscope,688,0.050125483,digital clock,530,0.019555915,microwave,651,0.013474382,scale,778,0.011321369,cassette,481,0.01128202,printer,742,0.0072600036
40,40,Image of Cassette Player,Cassette Player,8822,tape player,848,0.1846787,cassette player,482,0.11243707,desktop computer,527,0.05813576,CD player,485,0.0580655,radio,754,0.04697523,cassette,481,0.01906084,cash machine,480,0.017568756,loudspeaker,632,0.0121702,television,851,0.007700515,home theater,598,0.0067215026
41,41,Image of Cassette Player,Cassette Player,9272,tape player,848,0.35488752,cassette player,482,0.15713586,CD player,485,0.047829058,modem,662,0.04596095,cassette,481,0.045689344,Polaroid camera,732,0.013989147,digital clock,530,0.005788086,iPod,605,0.005679329,hard disc,592,0.0056359433,radio,754,0.0047304705
42,42,Image of Cassette Player,Cassette Player,8866,tape player,848,0.3159162,cassette player,482,0.11623471,cassette,481,0.07417016,CD player,485,0.025856331,safe,771,0.02510429,television,851,0.016665341,printer,742,0.015680064,home theater,598,0.011883237,radio,754,0.011318872,entertainment center,548,0.00991786
43,43,Image of Cassette Player,Cassette Player,2764,CD player,485,0.22967274,tape player,848,0.11095069,radio,754,0.09299361,cassette player,482,0.05048533,desktop computer,527,0.028284239,loudspeaker,632,0.02540406,iPod,605,0.017727224,Polaroid camera,732,0.008357504,safe,771,0.007204009,cassette,481,0.0068287593
44,44,Image of Cassette Player,Cassette Player,9268,maze,646,0.050662022,turnstile,877,0.044865556,nail,677,0.027452625,wardrobe,894,0.025207754,espresso maker,550,0.019636631,matchstick,644,0.017477427,beaker,438,0.015263357,file,553,0.015092181,parallel bars,702,0.013233515,safe,771,0.00937658
45,45,Image of Cassette Player,Cassette Player,5888,CD player,485,0.20355874,radio,754,0.06280775,tape player,848,0.060408164,cassette player,482,0.036619544,oscilloscope,688,0.030737992,screen,782,0.026784508,television,851,0.014535802,monitor,664,0.012979609,printer,742,0.0129776085,cash machine,480,0.011600026
46,46,Image of Cassette Player,Cassette Player,8356,cassette player,482,0.115899384,tape player,848,0.10934305,radio,754,0.08686185,CD player,485,0.066129684,Polaroid camera,732,0.026285123,projector,745,0.023424719,loudspeaker,632,0.014993867,cassette,481,0.01317168,printer,742,0.012801369,iPod,605,0.012349669
47,47,Image of Cassette Player,Cassette Player,3844,CD player,485,0.19014601,tape player,848,0.17746694,cassette player,482,0.102543905,radio,754,0.041050706,cassette,481,0.017818235,digital clock,530,0.0027956637,analog clock,409,0.0018842292,home theater,598,0.0017674768,loudspeaker,632,0.0017569638,microwave,651,0.0015383301
48,48,Image of Cassette Player,Cassette Player,2345,CD player,485,0.2764801,tape player,848,0.13862073,cassette player,482,0.0764547,radio,754,0.057670217,microwave,651,0.038052887,loudspeaker,632,0.014408915,cassette,481,0.012972424,desktop computer,527,0.005591268,home theater,598,0.0046073315,digital clock,530,0.0045027584
49,49,Image of Cassette Player,Cassette Player,9490,cash machine,480,0.34797388,tape player,848,0.08735995,cassette player,482,0.05985714,printer,742,0.031920843,cassette,481,0.015858995,CD player,485,0.011306268,photocopier,713,0.0064330557,desktop computer,527,0.004590444,radio,754,0.003865169,hard disc,592,0.0037191175
50,50,Image of Cassette Player,Cassette Player,6707,tape player,848,0.2512812,cassette player,482,0.1726808,CD player,485,0.054886114,cassette,481,0.049312964,radio,754,0.034563374,printer,742,0.016193138,notebook,681,0.009916773,Polaroid camera,732,0.0073487875,cash machine,480,0.0056770407,home theater,598,0.005449731
51,51,Image of Cassette Player,Cassette Player,3057,radio,754,0.14929114,Polaroid camera,732,0.0923555,tape player,848,0.08074902,loudspeaker,632,0.07753844,cassette player,482,0.038240165,modem,662,0.031735953,CD player,485,0.025618056,hard disc,592,0.017023258,iPod,605,0.014228806,projector,745,0.012404672
52,52,Image of Cassette Player,Cassette Player,4676,tape player,848,0.18666182,cassette player,482,0.18536277,radio,754,0.11844202,CD player,485,0.085969314,loudspeaker,632,0.01363376,entertainment center,548,0.012969004,cassette,481,0.010382429,television,851,0.0064818515,printer,742,0.0057274355,home theater,598,0.005200394
53,53,Image of Cassette Player,Cassette Player,5691,radio,754,0.23267788,CD player,485,0.07705354,tape player,848,0.04855092,safe,771,0.031087227,cassette player,482,0.028552106,projector,745,0.027722612,digital clock,530,0.024172958,loudspeaker,632,0.021195078,analog clock,409,0.011143716,printer,742,0.009848676
54,54,Image of Cassette Player,Cassette Player,7600,tape player,848,0.1040214,cassette player,482,0.10278133,CD player,485,0.07084719,cassette,481,0.0662997,radio,754,0.02021039,Polaroid camera,732,0.01817722,iPod,605,0.01457801,pencil sharpener,710,0.008748448,handkerchief,591,0.0073869554,loudspeaker,632,0.0055795717
55,55,Image of Cassette Player,Cassette Player,4656,tape player,848,0.24608152,cassette player,482,0.18560547,CD player,485,0.07375546,cash machine,480,0.026564436,cassette,481,0.026131677,radio,754,0.013811813,loudspeaker,632,0.007918513,desktop computer,527,0.007601907,modem,662,0.0064661796,printer,742,0.005684042
56,56,Image of Cassette Player,Cassette Player,4785,tape player,848,0.18993008,cassette player,482,0.13100496,cassette,481,0.13010664,Polaroid camera,732,0.0337441,radio,754,0.018051866,stopwatch,826,0.008477693,projector,745,0.008190046,CD player,485,0.0063253264,loudspeaker,632,0.0059675863,switch,844,0.0055990187
57,57,Image of Cassette Player,Cassette Player,3956,CD player,485,0.17167151,radio,754,0.118753254,tape player,848,0.087430015,cassette player,482,0.053280756,cassette,481,0.016794056,loudspeaker,632,0.007707191,desktop computer,527,0.0053303596,home theater,598,0.0052950666,television,851,0.004806109,space heater,811,0.0029930875
58,58,Image of Cassette Player,Cassette Player,9451,projector,745,0.3848509,desktop computer,527,0.06859397,hard disc,592,0.041383598,fire screen,556,0.025016883,loudspeaker,632,0.016121872,radio,754,0.011036051,pencil sharpener,710,0.008872921,modem,662,0.0057540536,digital clock,530,0.005232684,screen,782,0.0048887143
59,59,Image of Cassette Player,Cassette Player,6788,radio,754,0.14201431,cassette player,482,0.10858009,tape player,848,0.09920023,CD player,485,0.09226605,cassette,481,0.069494165,sewing machine,786,0.027139818,digital clock,530,0.008165187,dishwasher,534,0.0054226345,toaster,859,0.004804752,oscilloscope,688,0.00335481
60,60,Image of Cassette Player,Cassette Player,4592,cassette player,482,0.1208006,tape player,848,0.09103923,cassette,481,0.07746874,CD player,485,0.07710698,radio,754,0.07108701,microwave,651,0.020491382,digital clock,530,0.012643427,toaster,859,0.0073132617,modem,662,0.004707184,oscilloscope,688,0.0034936906
61,61,Image of Cassette Player,Cassette Player,8032,radio,754,0.33743852,CD player,485,0.1883646,cassette player,482,0.036932293,tape player,848,0.031397957,web site,916,0.027718289,modem,662,0.021776969,hard disc,592,0.010708965,cassette,481,0.007006712,digital clock,530,0.0029761838,notebook,681,0.0025882586
62,62,Image of Cassette Player,Cassette Player,6567,tape player,848,0.2815063,cassette player,482,0.235917,cassette,481,0.08299519,CD player,485,0.012829554,ballpoint,418,0.00722768,cash machine,480,0.0057910383,pencil box,709,0.0049642017,radio,754,0.003944131,hard disc,592,0.002484417,desktop computer,527,0.0022960978
63,63,Image of Cassette Player,Cassette Player,9508,CD player,485,0.17219914,tape player,848,0.084825,radio,754,0.0628619,cassette player,482,0.059398532,desktop computer,527,0.034907024,loudspeaker,632,0.021315776,notebook,681,0.011634898,printer,742,0.010645602,hard disc,592,0.009261891,television,851,0.009066383
64,64,Image of Cassette Player,Cassette Player,6406,tape player,848,0.1841127,cassette player,482,0.10213145,CD player,485,0.0675427,radio,754,0.043822464,cassette,481,0.042365447,home theater,598,0.0059358636,cash machine,480,0.0055268,printer,742,0.0053645177,desktop computer,527,0.0047250018,loudspeaker,632,0.004445768
65,65,Image of Cassette Player,Cassette Player,3123,tape player,848,0.09639054,cassette player,482,0.07264867,oscilloscope,688,0.06390687,radio,754,0.035467844,CD player,485,0.020712739,cassette,481,0.020142686,cash machine,480,0.018988684,monitor,664,0.00666183,switch,844,0.005791043,loudspeaker,632,0.0057873027
66,66,Image of Cassette Player,Cassette Player,5858,CD player,485,0.19814414,tape player,848,0.1482159,cassette player,482,0.09438285,vending machine,886,0.080230325,cassette,481,0.030368254,radio,754,0.023013646,switch,844,0.013114656,cash machine,480,0.012196128,hard disc,592,0.008806804,microwave,651,0.008056549
67,67,Image of Cassette Player,Cassette Player,7563,tape player,848,0.112367354,cash machine,480,0.09176305,desktop computer,527,0.06382701,cassette player,482,0.05262244,CD player,485,0.051505808,radio,754,0.04095275,mailbox,637,0.01567958,television,851,0.0126715535,loudspeaker,632,0.0121705085,screen,782,0.007087843
68,68,Image of Cassette Player,Cassette Player,9309,switch,844,0.11468129,CD player,485,0.06495867,cash machine,480,0.05549929,tape player,848,0.044512566,radio,754,0.03321215,cassette player,482,0.027368871,printer,742,0.025381006,loudspeaker,632,0.02024057,desktop computer,527,0.019087467,microwave,651,0.013229463
69,69,Image of Cassette Player,Cassette Player,1793,CD player,485,0.56769365,puck,746,0.023784056,radio,754,0.020690577,cassette player,482,0.019285161,tape player,848,0.01627423,stopwatch,826,0.008868945,mouse,673,0.0071045607,loudspeaker,632,0.006616604,digital clock,530,0.0037737396,desktop computer,527,0.0035944702
70,70,Image of Cassette Player,Cassette Player,7499,tape player,848,0.22218756,cassette player,482,0.1660747,cassette,481,0.13936874,CD player,485,0.0482453,radio,754,0.022768546,cash machine,480,0.0029546372,home theater,598,0.0029238972,modem,662,0.002914654,digital clock,530,0.0026553508,vending machine,886,0.002063773
71,71,Image of Cassette Player,Cassette Player,5667,cassette,481,0.24284044,cassette player,482,0.15817352,tape player,848,0.120517544,Polaroid camera,732,0.015418558,CD player,485,0.014312479,radio,754,0.006958274,digital clock,530,0.0032457374,loudspeaker,632,0.0028661566,reflex camera,759,0.00266096,analog clock,409,0.002258854
72,72,Image of Cassette Player,Cassette Player,3321,cash machine,480,0.10958015,CD player,485,0.05160241,tape player,848,0.047271274,cassette player,482,0.02746015,monitor,664,0.0135119455,radio,754,0.012599932,safe,771,0.012053394,desktop computer,527,0.009493206,screen,782,0.008777505,printer,742,0.008026264
73,73,Image of Cassette Player,Cassette Player,7223,loudspeaker,632,0.1426189,iPod,605,0.061472736,Polaroid camera,732,0.048279177,radio,754,0.047403883,tape player,848,0.025953779,CD player,485,0.021399733,cassette,481,0.020391397,cassette player,482,0.018437194,reflex camera,759,0.016662711,safe,771,0.012247595
74,74,Image of Cassette Player,Cassette Player,4248,tape player,848,0.21849877,cassette player,482,0.12862116,radio,754,0.11167411,CD player,485,0.072350875,cassette,481,0.013098513,loudspeaker,632,0.00792018,desktop computer,527,0.0060699093,home theater,598,0.0039753783,entertainment center,548,0.0038728185,television,851,0.0032231011
75,75,Image of Cassette Player,Cassette Player,6736,oscilloscope,688,0.101785414,tape player,848,0.03338663,screen,782,0.03213491,hand-held computer,590,0.024042685,monitor,664,0.01818278,cash machine,480,0.017541649,safe,771,0.015450664,television,851,0.0121122515,remote control,761,0.010121503,printer,742,0.009937724
76,76,Image of Cassette Player,Cassette Player,1915,loudspeaker,632,0.19495921,radio,754,0.052595433,CD player,485,0.033316534,tape player,848,0.02468952,cassette player,482,0.017894814,iPod,605,0.01712812,switch,844,0.013276348,desktop computer,527,0.010524169,cassette,481,0.00864474,hard disc,592,0.008031397
77,77,Image of Cassette Player,Cassette Player,7106,radio,754,0.22769693,tape player,848,0.1269003,CD player,485,0.07918779,cassette player,482,0.067956515,cassette,481,0.04062426,loudspeaker,632,0.014392164,home theater,598,0.010279239,desktop computer,527,0.0063586277,Polaroid camera,732,0.0041420623,television,851,0.0038359414
78,78,Image of Cassette Player,Cassette Player,2868,mailbox,637,0.098364204,microwave,651,0.042577066,vending machine,886,0.04213797,switch,844,0.031199425,CD player,485,0.028690116,tape player,848,0.024923777,safe,771,0.021024916,bell pepper,945,0.019964922,cash machine,480,0.018675253,radio,754,0.014957269
79,79,Image of Cassette Player,Cassette Player,5827,tape player,848,0.21426998,cassette player,482,0.15295336,cassette,481,0.087716565,CD player,485,0.04675164,cash machine,480,0.029325899,radio,754,0.02248081,printer,742,0.005389774,web site,916,0.002922489,safe,771,0.002345016,analog clock,409,0.00210818
80,80,Image of Cassette Player,Cassette Player,7425,tape player,848,0.19549324,cassette player,482,0.18256214,cassette,481,0.061287448,CD player,485,0.026943881,radio,754,0.0149077205,cash machine,480,0.008540966,Polaroid camera,732,0.007355682,joystick,613,0.002487184,loudspeaker,632,0.0023160265,printer,742,0.0021215815
81,81,Image of Cassette Player,Cassette Player,5306,safe,771,0.21056399,cassette,481,0.101657055,tape player,848,0.097042456,cassette player,482,0.06481267,radio,754,0.013013956,Polaroid camera,732,0.012955986,CD player,485,0.010200228,combination lock,507,0.007130791,cash machine,480,0.0042221914,switch,844,0.0033544232
82,82,Image of Cassette Player,Cassette Player,8540,safe,771,0.27169243,Polaroid camera,732,0.03693609,combination lock,507,0.02525442,tape player,848,0.024408251,cassette player,482,0.02211373,radio,754,0.017738929,cassette,481,0.014136905,analog clock,409,0.012147248,CD player,485,0.01147399,cash machine,480,0.006643769
83,83,Image of Cassette Player,Cassette Player,2354,tape player,848,0.1590404,cassette player,482,0.13299657,radio,754,0.122561455,CD player,485,0.072549716,television,851,0.026179329,home theater,598,0.017208282,loudspeaker,632,0.015338401,entertainment center,548,0.012165408,cassette,481,0.006495607,cash machine,480,0.005630848
84,84,Image of Cassette Player,Cassette Player,1485,cash machine,480,0.4430781,vending machine,886,0.023360446,tape player,848,0.020681182,cassette player,482,0.01289622,hard disc,592,0.0058777016,CD player,485,0.0052117617,oscilloscope,688,0.0050634895,mailbox,637,0.004829377,joystick,613,0.0036075898,remote control,761,0.0035156047
85,85,Image of Cassette Player,Cassette Player,4502,loudspeaker,632,0.14090574,radio,754,0.10753183,iPod,605,0.067522354,CD player,485,0.065889634,tape player,848,0.032649156,cassette player,482,0.023920575,remote control,761,0.020335708,analog clock,409,0.010025254,digital clock,530,0.009660938,television,851,0.0053428505
86,86,Image of Cassette Player,Cassette Player,4533,tape player,848,0.29048142,cassette player,482,0.14985517,cassette,481,0.07292448,CD player,485,0.0428982,radio,754,0.038393125,cash machine,480,0.005623795,digital clock,530,0.0037764497,Polaroid camera,732,0.0035413539,switch,844,0.0028765274,oscilloscope,688,0.0024503048
87,87,Image of Cassette Player,Cassette Player,9511,tape player,848,0.19118986,cassette player,482,0.1113863,radio,754,0.031261038,CD player,485,0.014252124,cassette,481,0.007062631,oscilloscope,688,0.0064028706,hand-held computer,590,0.005430282,switch,844,0.005026406,joystick,613,0.0045925053,iPod,605,0.0045554503
88,88,Image of Cassette Player,Cassette Player,4372,tape player,848,0.118366376,cassette player,482,0.09000838,cash machine,480,0.07111814,cassette,481,0.045629736,microwave,651,0.02608754,television,851,0.021329481,radio,754,0.01692771,vending machine,886,0.015592515,desktop computer,527,0.012065142,CD player,485,0.01132566
89,89,Image of Cassette Player,Cassette Player,2761,CD player,485,0.18224454,tape player,848,0.09427899,radio,754,0.051929705,cassette player,482,0.048649848,printer,742,0.041597564,home theater,598,0.018915642,loudspeaker,632,0.014329998,cassette,481,0.013606767,notebook,681,0.008989891,entertainment center,548,0.008589266
